Class,subClass,concept_id,concept_name,concept_label,concept_index,attribute_concept_id,attribute_concept_name,modifier_concept_id,modifier_concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,concept_symbol,concept_units,original_request,concept_group
CANCER ANATOMY,NAACCR_Laterality,35940574,"Bilateral involvement at time of diagnosis, lateral origin unknown for a single primary; or both ovaries involved simultaneously, single histology; bilateral retinoblastomas; bilateral Wilms' tumors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER ANATOMY,NAACCR_Laterality,35941014,Left: origin of primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER ANATOMY,NAACCR_Laterality,35942059,Not a paired site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER ANATOMY,NAACCR_Laterality,35941222,"Only one side involved, right or left origin unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER ANATOMY,NAACCR_Laterality,35941508,"Paired site, but no information concerning laterality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER ANATOMY,NAACCR_Laterality,35940997,Paired site: midline tumor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER ANATOMY,NAACCR_Laterality,35940926,Right: origin of primary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER CLINICAL PERFORMANCE,ICDO3_Behavior,44497999,"8000/0 Neoplasm, benign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER CLINICAL PERFORMANCE,ICDO3_Behavior,44498000,"8000/1 Neoplasm, uncertain whether benign or malignant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER CLINICAL PERFORMANCE,ICDO3_Behavior,36402201,"8000/2 Neoplasm, in situ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER CLINICAL PERFORMANCE,ICDO3_Behavior,44498001,"8000/3 Neoplasm, malignant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER CLINICAL PERFORMANCE,ICDO3_Behavior,44498002,"8000/6 Neoplasm, metastatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
