concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
9ba0d071-284b-4c4b-a154-2bce21d0ff10,CANCER ANATOMY,Standard Library,Amphora,Class,C,001,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,NAACCR_Laterality,Standard Library,Amphora,subClass,C,001_001,2021-01-30,2099-12-31,NA
cdb00a67-99a7-4bc7-82e5-8def1ea65ee1,CANCER CLINICAL PERFORMANCE,Standard Library,Amphora,Class,C,002,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,ICDO3_Behavior,Standard Library,Amphora,subClass,C,002_001,2021-01-30,2099-12-31,NA
9587e061-c9c2-43b8-a6ef-b3cfcf569fd7,CANCER GRADES,Standard Library,Amphora,Class,C,003,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,CNS_Tumors,Standard Library,Amphora,subClass,C,003_001,2021-01-30,2099-12-31,NA
9c25cae1-438e-4955-b4dc-3668ed5e2d60,CANCER STAGES,Standard Library,Amphora,Class,C,004,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,AnnArbor_HodgkinLymphoma,Standard Library,Amphora,subClass,C,004_001,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,Lugano_NonHodgkinLymphoma,Standard Library,Amphora,subClass,C,004_002,2021-01-30,2099-12-31,NA
49ff7254-d678-495a-8dc9-f28d43cd4e65,NAACCR_Clinical_Stage,Standard Library,Amphora,subClass,C,004_003,2021-01-30,2099-12-31,NA
06482cfe-bdcb-4fcd-a3c7-fbd25664db64,NAACCR_Path_Stage,Standard Library,Amphora,subClass,C,004_004,2021-01-30,2099-12-31,NA
db55d0eb-35cc-458b-846f-66d8d2a01c23,CANCER TYPE,Standard Library,Amphora,Class,C,005,2021-01-30,2099-12-31,NA
9773a841-526c-44a8-8598-24e152ac2315,ICD10,Standard Library,Amphora,subClass,C,005_001,2021-01-30,2099-12-31,NA
2844a8f1-5f6c-4533-8b63-f267467534e0,ICDO3_Histology,Standard Library,Amphora,subClass,C,005_002,2021-01-30,2099-12-31,NA
90d6c499-aef4-45a1-856e-e2a50f5188a1,ICDO3_Top_Topography,Standard Library,Amphora,subClass,C,005_003,2021-01-30,2099-12-31,NA
0e48935c-618f-48e4-a48d-f00153c97331,ICDO3_Topography,Standard Library,Amphora,subClass,C,005_004,2021-01-30,2099-12-31,NA
7279f140-bac7-45d8-9a2b-1119f1393b9f,DRUGS,Standard Library,Amphora,Class,C,006,2021-01-30,2099-12-31,NA
19dee709-1c1c-441e-9f5b-4482425d55d6,BY RXNORM INGREDIENT/GLUCOCORTICOID,Standard Library,Amphora,subClass,C,006_001,2021-01-30,2099-12-31,NA
d4e0828b-1880-4e6f-923a-c65c82627e86,BY RXNORM INGREDIENT/IMMUNOMODULATOR_IMIDE,Standard Library,Amphora,subClass,C,006_002,2021-01-30,2099-12-31,NA
197019a0-3bb6-4103-91e2-3d534d451d27,BY RXNORM INGREDIENT/IMMUNOMODULATOR_TNFa_INHIBITOR,Standard Library,Amphora,subClass,C,006_003,2021-01-30,2099-12-31,NA
b12ddb3b-6eaa-40b1-8410-477a51d007ea,BY RXNORM INGREDIENT/IMMUNOMODULATOR,Standard Library,Amphora,subClass,C,006_004,2021-01-30,2099-12-31,NA
2cc7572e-c32b-46fc-b117-935b20052ecb,BY RXNORM INGREDIENT/NSAID,Standard Library,Amphora,subClass,C,006_005,2021-01-30,2099-12-31,NA
193ff704-a47b-414f-bc53-9a6d3c0019d3,BY RXNORM INGREDIENT/STATIN,Standard Library,Amphora,subClass,C,006_006,2021-01-30,2099-12-31,NA
8af8f549-af56-47a3-bf2d-cb1743a7342f,BY RXNORM INGREDIENT/VASOPRESSOR,Standard Library,Amphora,subClass,C,006_007,2021-01-30,2099-12-31,NA
b35bed3d-79cb-4a43-9f38-65a22694475d,LABS,Standard Library,Amphora,Class,C,007,2021-01-30,2099-12-31,NA
63a244a9-32b5-4b3f-9d53-84293755c14d,BLEEDING_TIME,Standard Library,Amphora,subClass,C,007_001,2021-01-30,2099-12-31,NA
d936a1b7-9e4d-4eab-a1f6-2726e51047a7,BLOOD_GASES,Standard Library,Amphora,subClass,C,007_002,2021-01-30,2099-12-31,NA
40bad412-c4fb-4786-bc79-64994c615ef1,BLOOD_TYPE,Standard Library,Amphora,subClass,C,007_003,2021-01-30,2099-12-31,NA
e006b8e7-a747-4f8e-bf38-6a8a8bdfc59b,CBC,Standard Library,Amphora,subClass,C,007_004,2021-01-30,2099-12-31,NA
090bb70f-eeb3-4f7c-b9e4-8d0899110239,CREATINE_KINASE,Standard Library,Amphora,subClass,C,007_005,2021-01-30,2099-12-31,NA
db5d2b30-8a7a-41bb-b7e0-6dc7648908e1,DIFFERENTIAL,Standard Library,Amphora,subClass,C,007_006,2021-01-30,2099-12-31,NA
d15616ab-6347-4090-81d2-d9eac4e0e49d,IMMUNOGLOBULIN_PANEL,Standard Library,Amphora,subClass,C,007_007,2021-01-30,2099-12-31,NA
3afa3391-63c2-4d6a-8b42-10f37b9659c1,INFECTIOUS_DISEASE_DNA,Standard Library,Amphora,subClass,C,007_008,2021-01-30,2099-12-31,NA
