ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
9ba0d071-284b-4c4b-a154-2bce21d0ff10,9ba0d071-284b-4c4b-a154-2bce21d0ff10,0,0
9ba0d071-284b-4c4b-a154-2bce21d0ff10,9df23f33-5310-4426-96c8-f72c17cf091b,1,1
cdb00a67-99a7-4bc7-82e5-8def1ea65ee1,cdb00a67-99a7-4bc7-82e5-8def1ea65ee1,0,0
cdb00a67-99a7-4bc7-82e5-8def1ea65ee1,86652c16-f5a1-40ff-bd23-43ae3f8a9162,1,1
9587e061-c9c2-43b8-a6ef-b3cfcf569fd7,9587e061-c9c2-43b8-a6ef-b3cfcf569fd7,0,0
9587e061-c9c2-43b8-a6ef-b3cfcf569fd7,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,1,1
9c25cae1-438e-4955-b4dc-3668ed5e2d60,9c25cae1-438e-4955-b4dc-3668ed5e2d60,0,0
9c25cae1-438e-4955-b4dc-3668ed5e2d60,696e873b-3125-439e-95e4-4adfcde724af,1,1
9c25cae1-438e-4955-b4dc-3668ed5e2d60,62e81ce7-0044-4fad-8b39-ae045ff4e931,1,1
9c25cae1-438e-4955-b4dc-3668ed5e2d60,49ff7254-d678-495a-8dc9-f28d43cd4e65,1,1
9c25cae1-438e-4955-b4dc-3668ed5e2d60,06482cfe-bdcb-4fcd-a3c7-fbd25664db64,1,1
db55d0eb-35cc-458b-846f-66d8d2a01c23,db55d0eb-35cc-458b-846f-66d8d2a01c23,0,0
db55d0eb-35cc-458b-846f-66d8d2a01c23,9773a841-526c-44a8-8598-24e152ac2315,1,1
db55d0eb-35cc-458b-846f-66d8d2a01c23,2844a8f1-5f6c-4533-8b63-f267467534e0,1,1
db55d0eb-35cc-458b-846f-66d8d2a01c23,90d6c499-aef4-45a1-856e-e2a50f5188a1,1,1
db55d0eb-35cc-458b-846f-66d8d2a01c23,0e48935c-618f-48e4-a48d-f00153c97331,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,7279f140-bac7-45d8-9a2b-1119f1393b9f,0,0
7279f140-bac7-45d8-9a2b-1119f1393b9f,19dee709-1c1c-441e-9f5b-4482425d55d6,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,d4e0828b-1880-4e6f-923a-c65c82627e86,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,197019a0-3bb6-4103-91e2-3d534d451d27,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,b12ddb3b-6eaa-40b1-8410-477a51d007ea,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,2cc7572e-c32b-46fc-b117-935b20052ecb,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,193ff704-a47b-414f-bc53-9a6d3c0019d3,1,1
7279f140-bac7-45d8-9a2b-1119f1393b9f,8af8f549-af56-47a3-bf2d-cb1743a7342f,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,b35bed3d-79cb-4a43-9f38-65a22694475d,0,0
b35bed3d-79cb-4a43-9f38-65a22694475d,63a244a9-32b5-4b3f-9d53-84293755c14d,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,d936a1b7-9e4d-4eab-a1f6-2726e51047a7,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,40bad412-c4fb-4786-bc79-64994c615ef1,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,e006b8e7-a747-4f8e-bf38-6a8a8bdfc59b,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,090bb70f-eeb3-4f7c-b9e4-8d0899110239,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,db5d2b30-8a7a-41bb-b7e0-6dc7648908e1,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,d15616ab-6347-4090-81d2-d9eac4e0e49d,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,3afa3391-63c2-4d6a-8b42-10f37b9659c1,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,58eafa7d-d352-4668-af4c-1b7d5e69f421,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,b5f8f5ae-ef42-4dc4-a121-f1b187b21b4f,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,2077b11c-cd12-470c-a0be-f935b2ac7e27,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,cc020067-7a78-41d7-b345-d989d8503949,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,11063721-8fb9-490c-a961-cd1b8a2ee950,1,1
b35bed3d-79cb-4a43-9f38-65a22694475d,0f35875f-b3af-43d3-bc1d-f3370aa6cb42,1,1
